Date,Adj Close,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_20,EMA_50,RSI_14,EMA_12,EMA_26,MACD,Signal_Line,MACD_Histogram,BB_Middle,BB_Upper,BB_Lower,Daily_Return,Volatility_20,Price_Change,High_Low_Spread,Volume_Change
2024-07-12,57899.46484375,57899.46484375,58532.5546875,56590.17578125,57341.1953125,25604805221,,,57899.46484375,57899.46484375,,57899.46484375,57899.46484375,0.0,0.0,0.0,,,,,,,1942.37890625,
2024-07-13,59231.953125,59231.953125,59787.078125,57796.44140625,57908.73828125,17080061806,,,58026.368489583336,57951.71928615196,,58104.46304086538,57998.16767939815,106.29536146722967,21.259072293445936,85.03628917378373,,,,0.023013827240820017,,1332.48828125,1990.63671875,-0.33293529637977326
2024-07-14,60787.79296875,60787.79296875,61329.52734375,59225.25,59225.25,22223416061,,,58289.36129712302,58062.93786194012,,58517.283029770704,58204.80658972051,312.4764400501954,79.50254584479583,232.97389420539955,,,,0.026266900915231206,,1555.83984375,2104.27734375,0.301132063421059
2024-07-15,64870.15234375,64870.15234375,64870.15234375,60704.9296875,60815.45703125,38094526099,,,58916.103301563686,58329.887449462076,,59494.647539613674,58698.53590483381,796.111634779867,222.8243636318101,573.2872711480569,,,,0.06715755212726138,,4082.359375,4165.22265625,0.7141615849892808
2024-07-16,65097.1484375,65097.1484375,65354.33984375,62487.96875,64784.41796875,41617346768,,,59504.774266890956,58595.2702333067,,60356.57075467311,59172.50720354982,1184.063551123283,415.0722011301047,768.9913499931783,,,,0.003499237870556282,,226.99609375,2866.37109375,0.0924757709242765
2024-07-17,64118.79296875,64118.79296875,66066.734375,63896.0859375,65091.83203125,32525071311,,,59944.20461944897,58811.878968029974,,60935.3741722234,59538.8987417128,1396.4754305105962,611.3528470062031,785.1225835043931,,,,-0.01502916014346345,,-978.35546875,2170.6484375,-0.21847321280921117
2024-07-18,63974.06640625,63974.06640625,65104.66015625,63246.1640625,64104.73828125,27239305337,,,60328.00098009668,59014.31769109742,,61402.86528515057,59867.42967982667,1535.4356053238953,796.1693986697416,739.2662066541537,,,,-0.0022571629283560934,,-144.7265625,1858.49609375,-0.1625135860105663
2024-07-19,66710.15625,66710.15625,67442.640625,63329.34375,63972.32421875,37003855410,,,60935.82529151604,59316.115281642626,,62219.3715874351,60374.29831465433,1845.07327278077,1005.9501734919473,839.1230992888226,,,,0.042768734230136385,,2736.08984375,4113.296875,0.35847280068983656
2024-07-20,67163.6484375,67163.6484375,67610.734375,66299.6171875,66709.921875,19029581250,,,61528.95130541928,59623.86167991154,,62980.02956436816,60877.21313856882,2102.8164257993412,1225.323423953426,877.4930018459152,,,,0.0067979482134701286,,453.4921875,1311.1171875,-0.48574057921387814
2024-07-21,68154.5234375,68154.5234375,68372.90625,65842.296875,67164.9140625,26652190004,,,62159.958175141255,59958.39743511109,,63776.10554484998,61416.27316071187,2359.8323841381134,1452.2252159903637,907.6071681477497,,,,0.014753144342986024,,990.875,2530.609375,0.40056628960240515
2024-07-22,67585.25,67585.25,68480.0625,66611.296875,68152.9765625,42649109453,,,62676.65263465161,60257.48969255771,,64362.12776871922,61873.23440806655,2488.89336065267,1659.558844922825,829.3345157298447,,,,-0.00835268752223095,,-569.2734375,1868.765625,0.600210318424083
2024-07-23,65927.671875,65927.671875,67779.015625,65484.4609375,67584.8046875,35605668666,,,62986.27351468479,60479.84977814369,,64602.98070814703,62173.56310932088,2429.4175988261486,1813.5305957034898,615.8870031226588,,,,-0.02452573786440093,,-1657.578125,2294.5546875,-0.16514860163169376
2024-07-24,65372.1328125,65372.1328125,67113.984375,65146.99609375,65927.859375,27470942309,,,63213.49820971481,60671.704014785115,,64721.31180112441,62410.49419844526,2310.817602679148,1912.9879970986215,397.8296055805265,,,,-0.008426492953570563,,-555.5390625,1966.98828125,-0.22846717002587524
2024-07-25,65777.2265625,65777.2265625,66112.421875,63473.47265625,65375.875,38315761670,,,63457.662814741976,60871.92058528373,,64883.760225951424,62659.88178096783,2223.878444983595,1975.1660866756163,248.71235830797855,,,,0.00619673448871394,,405.09375,2638.94921875,0.39477420319313294
2024-07-26,67912.0625,67912.0625,68207.6015625,65743.765625,65771.8125,30488630457,,,63881.89135619512,61148.004581939276,78.08812387583399,65349.65288349736,63048.93220459984,2300.7206788975163,2040.2770051199964,260.44367377751996,,,,0.032455548053117234,,2134.8359375,2463.8359375,-0.2042796716508546
2024-07-27,67813.3359375,67813.3359375,69398.5078125,66705.21875,67911.8125,34691905492,,,64256.314649652726,61409.3901252946,75.86345981053849,65728.68104565161,63401.85099962948,2326.830046022129,2097.587613300423,229.24243272170588,,,,-0.0014537411892032726,,-98.7265625,2693.2890625,0.13786368793862813
